BLOCK	TRANSECT	PLOT	MODULE	SUBMODULE	CORNER	SAMPLING_ID	SPECIES	SPECIES_CORRECTED	SPCODE	FREQUENCY	DATE	DATE_CORRECTED	>1M	CONERCONER	DATE OF FIRE	TIME SINCE FIRE (DAYS)	SPECIES_NEW_NAMES	NEW_SPCODE
F1	1	1	2	1	A	F1_1_1_2_1_A	EVOLVULUS SERICEUS       	EVOLVULUS SERICEUS	EVOSER	20	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	HYPERICUM HYPERICOIDES     	HYPERICUM HYPERICOIDES	HYPHYP	14	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	HYPTIS ALATA          	HYPTIS ALATA	HYPALA	41	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	IPOMOEA SAGITTATA       	IPOMOEA SAGITTATA	IPOSAG	16	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	JUSTICIA OVATA         	JUSTICIA OVATA	JUSOVA	21	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	LOBELIA GLANDULOSA       	LOBELIA GLANDULOSA	LOBGLA	13	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	LUDWIGIA MICROCARPA      	LUDWIGIA MICROCARPA	LUDMIC	36	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	MELANTHERA ANGUSTIFOLIA     	MELANTHERA ANGUSTIFOLIA	MELANG	22	2/2/1998	2/2/1998					MELANTHERA NIVEA	MELNIV
F1	1	1	2	1	A	F1_1_1_2_1_A	MIKANIA SCANDENS        	MIKANIA SCANDENS	MIKSCA	40	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	MUHLENBERGIA FILIPES      	MUHLENBERGIA FILIPES	MUHFIL	78	2/2/1998	2/2/1998					MUHLENBERGIA CAPILLARIS VAR. FILIPES	MUHCAPFIL
F1	1	1	2	1	A	F1_1_1_2_1_A	PHYLLANTHUS SP         	PHYLLANTHUS SPP	PHYSPP	1	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	PROSERPINACA PALUSTRIS     	PROSERPINACA PALUSTRIS	PROPAL	6	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	RHYNCHOSPORA DIVERGENS     	RHYNCHOSPORA DIVERGENS	RHYDIV	2	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	RHYNCHOSPORA MICROCARPA    	RHYNCHOSPORA MICROCARPA	RHYMIC	3	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	RHYNCHOSPORA TRACYI	RHYNCHOSPORA TRACYI	RHYTRA	2	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	RUELLIA CAROLINIENSIS     	RUELLIA CAROLINIENSIS	RUECAR	32	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	SALIX CAROLINIANA       	SALIX CAROLINIANA	SALCAR	50	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	SCHINUS TEREBINTHIFOLIUS    	SCHINUS TEREBINTHIFOLIUS	SCHTER	3	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	SISYRINCHIUM MIAMIENSE     	SISYRINCHIUM MIAMIENSE	SISMIA	58	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	TEUCRIUM CANADENSE       	TEUCRIUM CANADENSE	TEUCAN	51	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	UNKN GRASS F111	UNKN GRASS F111		13	2/2/1998	2/2/1998						
F1	1	1	2	3	A	F1_1_1_2_3_A	PLUCHEA ROSEA         	PLUCHEA ROSEA	PLUROS	1	2/2/1998	2/2/1998					PLUCHEA BACCHARIS	PLUBAC
F1	1	1	2	3	A	F1_1_1_2_3_A	ASTER DUMOSUS         	ASTER DUMOSUS	ASTDUM	6	2/2/1998	2/2/1998					SYMPHYOTRICHUM DUMOSUM	SYMDUM
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	EUPATORIUM COELESTINUM   	EUPATORIUM COELESTINUM	EUPCOE	1	2/2/1998	2/2/1998						
